idVenta,fecha,idCliente,idProducto,cantidad,precioUnitario,region
1073,2024-01-13,C002,P005,10,299.0,Oceanía
1074,2024-01-26,C011,P004,5,149.99,África
1075,2024-02-13,C035,P011,7,179.99,América
1076,2024-01-20,C046,P016,8,35.99,Europa
1077,2024-02-29,C017,P001,6,15.99,Asia
1078,2024-01-26,C014,P004,4,149.99,América
1079,2024-03-31,C013,P006,1,799.0,África
1080,2024-01-20,C027,P007,6,59.99,Asia
1081,2024-02-26,C018,P019,8,399.99,Asia
1082,2024-01-09,C009,P007,3,59.99,África
1083,2024-02-18,C036,P003,6,99.0,América
1084,2024-03-07,C049,P008,10,9.99,África
1085,2024-01-21,C031,P016,5,35.99,África
1086,2024-01-16,C030,P011,4,179.99,África
1087,2024-02-24,C027,P017,5,249.99,África
1088,2024-02-08,C018,P017,5,249.99,África
1089,2024-02-24,C028,P019,6,399.99,Europa
1090,2024-03-17,C013,P014,9,14.99,Oceanía
1091,2024-03-24,C019,P009,10,119.99,Oceanía
1092,2024-02-14,C018,P002,6,25.5,América
1093,2024-01-29,C038,P015,6,169.99,África
1094,2024-02-19,C036,P015,4,169.99,Europa
1095,2024-01-22,C033,P016,3,35.99,América
1096,2024-01-06,C014,P013,8,12.5,América
1097,2024-02-13,C040,P010,8,19.99,África
1098,2024-03-23,C031,P011,1,179.99,África
1099,2024-02-05,C050,P006,7,799.0,América
1100,2024-03-30,C009,P015,9,169.99,Oceanía
1101,2024-02-04,C001,P020,7,59.99,Asia
1102,2024-01-09,C048,P003,1,99.0,Oceanía
1103,2024-01-21,C040,P003,9,99.0,América
1104,2024-03-09,C035,P007,5,59.99,Oceanía
1105,2024-01-09,C006,P011,1,179.99,Europa
1106,2024-03-27,C010,P014,10,14.99,América
1107,2024-03-31,C010,P019,5,399.99,Asia
1108,2024-01-15,C037,P006,5,799.0,Asia
1109,2024-03-01,C014,P016,8,35.99,África
1110,2024-02-23,C022,P018,6,39.99,América
1111,2024-02-09,C050,P014,5,14.99,África
1112,2024-01-15,C016,P017,2,249.99,Asia
1113,2024-01-04,C050,P002,6,25.5,Europa
1114,2024-02-19,C013,P005,2,299.0,Oceanía
1115,2024-02-14,C004,P012,6,299.99,Europa
1116,2024-03-24,C002,P014,2,14.99,América
1117,2024-01-19,C017,P018,10,39.99,África
1118,2024-03-16,C030,P006,6,799.0,África
1119,2024-01-13,C037,P019,2,399.99,América
1120,2024-02-22,C013,P010,6,19.99,África
1121,2024-02-25,C013,P010,8,19.99,América
1122,2024-02-02,C003,P003,8,99.0,Asia
1123,2024-03-01,C020,P010,2,19.99,África
1124,2024-02-11,C030,P014,6,14.99,África
1125,2024-02-01,C020,P002,1,25.5,Oceanía
1126,2024-03-30,C049,P006,2,799.0,América
1127,2024-02-12,C005,P001,9,15.99,Europa
1128,2024-02-08,C001,P014,6,14.99,Asia
1129,2024-02-22,C006,P003,4,99.0,Oceanía
1130,2024-02-22,C040,P013,4,12.5,América
1131,2024-03-22,C007,P006,2,799.0,Europa
1132,2024-03-22,C019,P011,2,179.99,Europa
1133,2024-01-29,C013,P007,9,59.99,Europa
1134,2024-03-22,C034,P018,3,39.99,Oceanía
1135,2024-03-20,C018,P009,1,119.99,Europa
1136,2024-01-21,C006,P019,10,399.99,Asia
1137,2024-01-17,C050,P001,1,15.99,Oceanía
1138,2024-01-19,C050,P019,5,399.99,Europa
1139,2024-01-11,C032,P013,7,12.5,Oceanía
1140,2024-01-05,C044,P009,4,119.99,África
1141,2024-01-03,C015,P003,4,99.0,América
1142,2024-03-03,C022,P008,6,9.99,Asia
1143,2024-03-12,C026,P001,6,15.99,Europa
1144,2024-01-19,C047,P019,7,399.99,Asia
1145,2024-02-02,C034,P001,2,15.99,África
1146,2024-01-01,C016,P012,6,299.99,Asia
1147,2024-02-15,C004,P018,4,39.99,Europa
1148,2024-02-06,C043,P004,2,149.99,Asia
1149,2024-02-06,C034,P005,9,299.0,América
1150,2024-01-19,C037,P008,5,9.99,Europa
1151,2024-02-08,C034,P019,5,399.99,Oceanía
1152,2024-02-02,C007,P001,1,15.99,África
1153,2024-01-28,C047,P014,6,14.99,Oceanía
1154,2024-01-14,C015,P008,7,9.99,Oceanía
1155,2024-03-23,C045,P012,1,299.99,América
1156,2024-03-21,C001,P013,2,12.5,Oceanía
1157,2024-01-04,C044,P009,1,119.99,Asia
1158,2024-01-21,C023,P013,5,12.5,África
1159,2024-01-20,C029,P007,4,59.99,Oceanía
1160,2024-03-08,C040,P007,9,59.99,Europa
1161,2024-02-06,C033,P004,5,149.99,África
1162,2024-02-19,C005,P008,8,9.99,América
1163,2024-01-14,C050,P014,2,14.99,Europa
1164,2024-02-03,C030,P020,2,59.99,Asia
1165,2024-01-29,C046,P013,2,12.5,Asia
1166,2024-03-18,C029,P007,5,59.99,Asia
1167,2024-01-26,C016,P014,10,14.99,Europa
1168,2024-02-12,C038,P005,5,299.0,Europa
1169,2024-02-10,C022,P003,5,99.0,África
1170,2024-01-07,C017,P007,3,59.99,América
1171,2024-03-01,C028,P018,5,39.99,Oceanía
1172,2024-02-07,C014,P010,9,19.99,América
1173,2024-02-03,C001,P003,3,99.0,Oceanía
1174,2024-01-19,C014,P009,10,119.99,Oceanía
1175,2024-02-21,C014,P019,5,399.99,América
1176,2024-03-09,C005,P008,9,9.99,América
1177,2024-01-24,C041,P014,5,14.99,África
1178,2024-03-03,C034,P011,3,179.99,América
1179,2024-02-17,C045,P007,8,59.99,África
1180,2024-01-28,C008,P001,6,15.99,Oceanía
1181,2024-03-03,C043,P012,1,299.99,Asia
1182,2024-01-19,C044,P010,1,19.99,Asia
1183,2024-03-15,C032,P012,7,299.99,Oceanía
1184,2024-02-07,C016,P002,9,25.5,Asia
1185,2024-01-03,C033,P012,7,299.99,Europa
1186,2024-01-22,C038,P011,6,179.99,Asia
1187,2024-01-29,C046,P010,3,19.99,Asia
1188,2024-03-08,C009,P015,1,169.99,América
1189,2024-02-27,C031,P011,1,179.99,África
1190,2024-03-21,C006,P018,5,39.99,América
1191,2024-03-09,C036,P011,5,179.99,Asia
1192,2024-03-22,C024,P004,10,149.99,Europa
1193,2024-03-12,C029,P009,7,119.99,Europa
1194,2024-02-14,C032,P004,2,149.99,África
1195,2024-02-28,C019,P003,3,99.0,América
1196,2024-02-08,C042,P020,1,59.99,Oceanía
1197,2024-03-28,C010,P020,3,59.99,Oceanía
1198,2024-01-05,C012,P010,5,19.99,Oceanía
1199,2024-03-25,C015,P004,6,149.99,África
1200,2024-01-01,C039,P007,4,59.99,América
1201,2024-01-06,C028,P007,2,59.99,África
1202,2024-01-27,C002,P012,2,299.99,Europa
1203,2024-03-11,C033,P005,9,299.0,Asia
1204,2024-02-28,C014,P003,3,99.0,América
1205,2024-02-15,C002,P013,4,12.5,Oceanía
1206,2024-03-28,C016,P013,7,12.5,Asia
1207,2024-02-22,C030,P003,3,99.0,Asia
1208,2024-03-28,C034,P010,5,19.99,África
1209,2024-01-27,C046,P008,9,9.99,Asia
1210,2024-01-27,C042,P003,9,99.0,Asia
1211,2024-02-23,C001,P020,1,59.99,América
1212,2024-03-18,C042,P006,10,799.0,Europa
1213,2024-02-17,C030,P012,2,299.99,Oceanía
1214,2024-01-26,C010,P013,7,12.5,Oceanía
1215,2024-03-28,C045,P018,5,39.99,América
1216,2024-03-03,C042,P011,3,179.99,Oceanía
1217,2024-01-06,C014,P003,3,99.0,Europa
1218,2024-01-13,C018,P020,4,59.99,África
1219,2024-02-26,C008,P004,10,149.99,Asia
1220,2024-01-30,C045,P007,6,59.99,Asia
1221,2024-01-05,C049,P020,8,59.99,América
1222,2024-01-14,C020,P003,10,99.0,Europa
1223,2024-01-01,C050,P002,5,25.5,América
1224,2024-01-20,C003,P018,7,39.99,Oceanía
1225,2024-02-07,C047,P012,3,299.99,Asia
1226,2024-01-29,C031,P015,7,169.99,Europa
1227,2024-03-01,C030,P008,6,9.99,Asia
1228,2024-03-10,C018,P008,1,9.99,África
1229,2024-03-02,C016,P019,5,399.99,América
1230,2024-01-28,C024,P002,10,25.5,Europa
1231,2024-01-20,C023,P012,5,299.99,Europa
1232,2024-03-27,C009,P003,10,99.0,Asia
1233,2024-02-14,C047,P017,2,249.99,Europa
1234,2024-01-14,C047,P012,1,299.99,Asia
1235,2024-03-10,C001,P002,2,25.5,Oceanía
1236,2024-01-22,C044,P016,1,35.99,Europa
1237,2024-03-03,C027,P016,5,35.99,Asia
1238,2024-02-19,C012,P012,7,299.99,América
1239,2024-02-24,C022,P010,8,19.99,América
1240,2024-01-21,C010,P018,6,39.99,Oceanía
1241,2024-02-11,C029,P010,1,19.99,África
1242,2024-02-28,C016,P015,7,169.99,África
1243,2024-02-05,C040,P017,4,249.99,África
1244,2024-03-05,C023,P006,6,799.0,Europa
1245,2024-03-10,C011,P013,9,12.5,Oceanía
1246,2024-03-04,C028,P016,9,35.99,Oceanía
1247,2024-02-29,C003,P016,3,35.99,África
1248,2024-01-16,C007,P005,6,299.0,Europa
1249,2024-01-16,C018,P019,5,399.99,América
1250,2024-01-24,C035,P006,1,799.0,Europa
1251,2024-01-30,C022,P014,10,14.99,Oceanía
1252,2024-02-09,C031,P013,6,12.5,Oceanía
1253,2024-03-28,C033,P019,1,399.99,África
1254,2024-01-19,C046,P008,9,9.99,Europa
1255,2024-03-10,C042,P007,1,59.99,Oceanía
1256,2024-02-14,C006,P020,8,59.99,África
1257,2024-01-20,C003,P002,5,25.5,Asia
1258,2024-03-05,C016,P016,7,35.99,África
1259,2024-03-20,C007,P012,1,299.99,Oceanía
1260,2024-01-08,C028,P013,10,12.5,África
1261,2024-03-07,C047,P018,7,39.99,Asia
1262,2024-01-01,C017,P019,1,399.99,América
1263,2024-01-25,C036,P004,6,149.99,África
1264,2024-02-26,C004,P005,10,299.0,Asia
1265,2024-02-02,C041,P004,3,149.99,Oceanía
1266,2024-02-16,C012,P006,2,799.0,África
1267,2024-02-25,C010,P019,9,399.99,África
1268,2024-02-18,C037,P014,1,14.99,Oceanía
1269,2024-03-15,C048,P019,8,399.99,Oceanía
1270,2024-03-06,C048,P016,10,35.99,África
1271,2024-01-08,C012,P005,3,299.0,África
1272,2024-03-06,C029,P010,2,19.99,África
1273,2024-03-19,C041,P004,10,149.99,África
1274,2024-02-29,C039,P007,5,59.99,Europa
1275,2024-03-12,C013,P004,10,149.99,Oceanía
1276,2024-03-05,C026,P010,7,19.99,África
1277,2024-01-16,C033,P015,1,169.99,Europa
1278,2024-03-03,C036,P006,6,799.0,América
1279,2024-01-06,C028,P009,9,119.99,Asia
1280,2024-03-26,C007,P015,4,169.99,Asia
1281,2024-03-01,C034,P016,9,35.99,África
1282,2024-03-01,C002,P016,8,35.99,Asia
1283,2024-03-08,C037,P007,2,59.99,Oceanía
1284,2024-03-07,C022,P006,5,799.0,Europa
1285,2024-01-27,C047,P014,5,14.99,América
1286,2024-02-01,C004,P008,4,9.99,América
1287,2024-02-28,C050,P009,6,119.99,África
1288,2024-02-28,C032,P005,2,299.0,Europa
1289,2024-01-09,C016,P003,1,99.0,Oceanía
1290,2024-03-09,C024,P001,2,15.99,Oceanía
1291,2024-02-16,C021,P003,4,99.0,Europa
1292,2024-02-21,C040,P004,9,149.99,América
1293,2024-01-27,C010,P009,2,119.99,Asia
1294,2024-01-22,C019,P013,10,12.5,Asia
1295,2024-01-15,C020,P016,3,35.99,Europa
1296,2024-02-14,C050,P010,2,19.99,Oceanía
1297,2024-02-12,C004,P004,3,149.99,Asia
1298,2024-01-01,C014,P019,7,399.99,América
1299,2024-01-19,C029,P006,8,799.0,Europa
1300,2024-02-28,C011,P005,4,299.0,Asia
1301,2024-01-28,C038,P020,6,59.99,África
1302,2024-01-04,C048,P003,1,99.0,América
1303,2024-01-15,C018,P001,3,15.99,Oceanía
1304,2024-03-18,C023,P019,9,399.99,Oceanía
1305,2024-02-17,C040,P011,2,179.99,Asia
1306,2024-03-04,C003,P006,6,799.0,Asia
1307,2024-03-10,C049,P005,1,299.0,Asia
1308,2024-01-16,C017,P008,4,9.99,África
1309,2024-02-14,C039,P017,4,249.99,Europa
1310,2024-01-27,C019,P007,5,59.99,Asia
1311,2024-01-25,C040,P016,5,35.99,Europa
1312,2024-03-14,C013,P001,5,15.99,África
1313,2024-03-14,C028,P002,6,25.5,Europa
1314,2024-02-02,C026,P019,5,399.99,América
1315,2024-02-13,C003,P010,8,19.99,América
1316,2024-02-22,C024,P004,8,149.99,Europa
1317,2024-03-29,C005,P018,1,39.99,Asia
1318,2024-02-26,C002,P011,10,179.99,América
1319,2024-02-01,C028,P002,4,25.5,Oceanía
1320,2024-01-19,C018,P014,4,14.99,América
1321,2024-02-02,C047,P014,3,14.99,África
1322,2024-03-26,C037,P006,5,799.0,África
1323,2024-02-11,C022,P003,9,99.0,Oceanía
1324,2024-03-19,C029,P006,6,799.0,Oceanía
1325,2024-01-01,C050,P001,5,15.99,África
1326,2024-02-29,C037,P016,10,35.99,América
1327,2024-01-20,C040,P010,2,19.99,Europa
1328,2024-03-06,C030,P006,1,799.0,Asia
1329,2024-02-09,C012,P011,10,179.99,Asia
1330,2024-03-02,C016,P018,2,39.99,África
1331,2024-03-08,C026,P008,10,9.99,Oceanía
1332,2024-03-03,C021,P014,8,14.99,Asia
1333,2024-02-17,C047,P017,9,249.99,Oceanía
1334,2024-02-10,C017,P018,7,39.99,Oceanía
1335,2024-01-05,C038,P003,10,99.0,África
1336,2024-01-13,C023,P015,9,169.99,Oceanía
1337,2024-03-22,C002,P015,3,169.99,Europa
1338,2024-02-27,C045,P009,3,119.99,Oceanía
1339,2024-02-29,C027,P011,5,179.99,Asia
1340,2024-02-22,C015,P004,1,149.99,Asia
1341,2024-03-10,C044,P018,5,39.99,África
1342,2024-03-02,C031,P015,8,169.99,Asia
1343,2024-03-20,C035,P019,1,399.99,África
1344,2024-03-14,C035,P007,1,59.99,Europa
1345,2024-01-05,C022,P020,5,59.99,Europa
1346,2024-03-30,C020,P019,6,399.99,Europa
1347,2024-01-06,C041,P004,8,149.99,América
1348,2024-01-14,C036,P011,9,179.99,África
1349,2024-03-10,C023,P007,1,59.99,Oceanía
1350,2024-03-01,C007,P007,2,59.99,Oceanía
1351,2024-01-16,C002,P005,1,299.0,Asia
1352,2024-02-25,C041,P017,5,249.99,América
1353,2024-03-12,C023,P001,7,15.99,Oceanía
1354,2024-03-22,C045,P011,10,179.99,América
1355,2024-01-31,C037,P017,5,249.99,América
1356,2024-03-30,C031,P005,3,299.0,Oceanía
1357,2024-03-21,C008,P004,5,149.99,África
1358,2024-03-22,C019,P013,9,12.5,América
1359,2024-01-15,C031,P012,1,299.99,África
1360,2024-03-03,C025,P019,10,399.99,Europa
1361,2024-01-03,C028,P011,9,179.99,Oceanía
1362,2024-02-29,C005,P016,10,35.99,Europa
1363,2024-02-23,C037,P002,9,25.5,América
1364,2024-02-21,C011,P015,4,169.99,América
1365,2024-02-24,C002,P013,8,12.5,Europa
1366,2024-02-12,C050,P010,2,19.99,África
1367,2024-01-25,C030,P011,1,179.99,Europa
1368,2024-02-29,C005,P011,10,179.99,Asia
1369,2024-02-14,C030,P018,4,39.99,Asia
1370,2024-01-26,C012,P008,4,9.99,Asia
1371,2024-02-16,C001,P009,4,119.99,Oceanía
1372,2024-02-17,C049,P014,1,14.99,Oceanía
1373,2024-01-23,C036,P003,5,99.0,América
1374,2024-01-26,C048,P008,2,9.99,América
1375,2024-02-28,C005,P012,1,299.99,América
1376,2024-01-20,C028,P002,5,25.5,América
1377,2024-01-12,C044,P005,2,299.0,América
1378,2024-01-16,C007,P003,7,99.0,Asia
1379,2024-01-01,C047,P007,7,59.99,Europa
1380,2024-01-04,C049,P014,8,14.99,Europa
1381,2024-01-07,C034,P015,3,169.99,Asia
1382,2024-03-11,C049,P015,10,169.99,Asia
1383,2024-01-26,C030,P008,9,9.99,Europa
1384,2024-01-29,C023,P010,1,19.99,Asia
1385,2024-02-25,C041,P006,7,799.0,Europa
1386,2024-03-04,C012,P020,8,59.99,América
1387,2024-02-10,C023,P015,3,169.99,Asia
1388,2024-02-21,C013,P003,3,99.0,Oceanía
1389,2024-02-03,C043,P012,8,299.99,América
1390,2024-02-15,C011,P017,6,249.99,África
1391,2024-03-12,C010,P002,9,25.5,Asia
1392,2024-03-30,C028,P001,9,15.99,Europa
1393,2024-01-01,C026,P010,4,19.99,África
1394,2024-03-09,C037,P012,4,299.99,Europa
1395,2024-02-23,C018,P013,5,12.5,Asia
1396,2024-01-28,C021,P019,3,399.99,África
1397,2024-01-05,C040,P013,6,12.5,África
1398,2024-03-04,C019,P020,5,59.99,Europa
1399,2024-02-01,C031,P011,10,179.99,Asia
1400,2024-01-18,C034,P017,7,249.99,Oceanía
1401,2024-01-02,C013,P008,7,9.99,Asia
1402,2024-03-23,C043,P001,4,15.99,África
1403,2024-01-02,C003,P017,2,249.99,América
1404,2024-03-04,C022,P017,3,249.99,Europa
1405,2024-02-02,C002,P018,6,39.99,América
1406,2024-01-30,C047,P002,7,25.5,Europa
1407,2024-02-28,C002,P009,6,119.99,Europa
1408,2024-03-27,C014,P009,8,119.99,África
1409,2024-01-14,C007,P004,5,149.99,América
1410,2024-01-07,C024,P010,4,19.99,Oceanía
1411,2024-03-24,C040,P007,10,59.99,América
1412,2024-01-09,C014,P008,10,9.99,África
1413,2024-01-03,C016,P008,5,9.99,Europa
1414,2024-01-01,C049,P005,9,299.0,África
1415,2024-01-10,C023,P016,7,35.99,África
1416,2024-02-27,C027,P016,3,35.99,Oceanía
1417,2024-01-11,C005,P015,6,169.99,América
1418,2024-01-06,C030,P020,7,59.99,África
1419,2024-03-10,C008,P014,10,14.99,Oceanía
1420,2024-03-05,C050,P011,8,179.99,Asia
1421,2024-02-03,C036,P013,8,12.5,Asia
1422,2024-03-04,C011,P016,4,35.99,Oceanía
1423,2024-02-21,C017,P018,2,39.99,Oceanía
1424,2024-01-12,C040,P014,5,14.99,África
1425,2024-03-19,C015,P008,2,9.99,Asia
1426,2024-03-18,C044,P018,1,39.99,Asia
1427,2024-02-29,C037,P015,9,169.99,África
1428,2024-01-27,C008,P009,1,119.99,América
1429,2024-03-23,C041,P016,6,35.99,Europa
1430,2024-01-23,C049,P011,6,179.99,América
1431,2024-03-28,C020,P020,6,59.99,Europa
1432,2024-01-18,C034,P018,2,39.99,América
1433,2024-02-25,C029,P006,3,799.0,América
1434,2024-01-04,C021,P012,8,299.99,Europa
1435,2024-03-21,C029,P015,2,169.99,Asia
1436,2024-01-09,C015,P006,3,799.0,Europa
1437,2024-03-12,C011,P016,4,35.99,Europa
1438,2024-02-01,C033,P016,1,35.99,Asia
1439,2024-03-11,C036,P015,10,169.99,Asia
1440,2024-03-13,C043,P013,4,12.5,África
1441,2024-03-20,C035,P015,8,169.99,África
1442,2024-03-21,C003,P002,3,25.5,Asia
1443,2024-03-17,C037,P014,5,14.99,Europa
1444,2024-03-31,C044,P004,4,149.99,América
1445,2024-03-30,C043,P013,4,12.5,América
1446,2024-02-07,C018,P014,10,14.99,Asia
1447,2024-01-16,C026,P020,1,59.99,Asia
1448,2024-03-24,C015,P004,3,149.99,Europa
1449,2024-03-05,C032,P005,7,299.0,América
1450,2024-01-25,C016,P017,3,249.99,América
1451,2024-01-27,C038,P012,4,299.99,América
1452,2024-02-17,C040,P018,6,39.99,Oceanía
1453,2024-03-22,C030,P015,3,169.99,África
1454,2024-03-17,C047,P001,6,15.99,Oceanía
1455,2024-01-20,C044,P003,5,99.0,Asia
1456,2024-03-11,C033,P020,10,59.99,Oceanía
1457,2024-03-17,C042,P008,10,9.99,Oceanía
1458,2024-02-06,C024,P002,8,25.5,América
1459,2024-02-05,C040,P008,4,9.99,Oceanía
1460,2024-01-21,C001,P011,1,179.99,Europa
1461,2024-01-04,C036,P007,3,59.99,Oceanía
1462,2024-02-24,C022,P018,1,39.99,Asia
1463,2024-03-22,C017,P016,7,35.99,Asia
1464,2024-01-06,C026,P005,9,299.0,África
1465,2024-01-15,C017,P015,10,169.99,América
1466,2024-03-31,C035,P018,3,39.99,Oceanía
1467,2024-02-27,C034,P003,4,99.0,Europa
1468,2024-03-20,C008,P011,6,179.99,América
1469,2024-01-18,C015,P010,3,19.99,Asia
1470,2024-01-17,C038,P003,1,99.0,América
1471,2024-03-09,C038,P009,1,119.99,África
1472,2024-01-01,C017,P006,2,799.0,África
1473,2024-03-20,C013,P005,1,299.0,Asia
1474,2024-03-19,C042,P016,8,35.99,África
1475,2024-02-09,C022,P001,1,15.99,Asia
1476,2024-02-27,C049,P009,8,119.99,Europa
1477,2024-02-19,C024,P008,2,9.99,Oceanía
1478,2024-02-02,C023,P005,6,299.0,Asia
1479,2024-01-12,C048,P009,7,119.99,América
1480,2024-01-28,C033,P013,1,12.5,América
1481,2024-02-10,C041,P011,3,179.99,América
1482,2024-01-23,C013,P005,10,299.0,América
1483,2024-02-07,C014,P015,7,169.99,Asia
1484,2024-03-09,C029,P007,8,59.99,América
1485,2024-02-04,C036,P010,4,19.99,América
1486,2024-03-20,C042,P011,7,179.99,América
1487,2024-03-23,C016,P005,2,299.0,Oceanía
1488,2024-02-07,C031,P003,3,99.0,Oceanía
1489,2024-03-02,C048,P005,5,299.0,África
1490,2024-03-09,C023,P014,2,14.99,Asia
1491,2024-02-12,C021,P003,10,99.0,Europa
1492,2024-01-21,C008,P017,8,249.99,América
1493,2024-03-18,C037,P007,5,59.99,Oceanía
1494,2024-01-15,C017,P012,6,299.99,Europa
1495,2024-01-24,C040,P017,1,249.99,América
1496,2024-03-10,C026,P001,2,15.99,África
1497,2024-01-28,C004,P009,4,119.99,Asia
1498,2024-01-05,C024,P015,8,169.99,Europa
1499,2024-01-03,C032,P015,10,169.99,África
1500,2024-02-04,C012,P007,4,59.99,Europa
1501,2024-01-06,C040,P015,10,169.99,Asia
1502,2024-01-07,C026,P003,1,99.0,Europa
1503,2024-03-28,C022,P012,5,299.99,Europa
1504,2024-01-14,C021,P003,3,99.0,Oceanía
1505,2024-01-16,C008,P015,10,169.99,Oceanía
1506,2024-03-31,C040,P007,5,59.99,África
1507,2024-03-25,C049,P010,8,19.99,Asia
1508,2024-01-27,C027,P011,2,179.99,Europa
1509,2024-01-06,C001,P008,10,9.99,Asia
1510,2024-02-25,C013,P003,10,99.0,Asia
1511,2024-02-28,C015,P012,8,299.99,América
1512,2024-01-25,C016,P005,7,299.0,África
1513,2024-01-25,C042,P015,7,169.99,África
1514,2024-03-09,C027,P005,4,299.0,África
1515,2024-03-29,C008,P006,9,799.0,África
1516,2024-02-21,C008,P013,4,12.5,África
1517,2024-01-04,C008,P019,1,399.99,África
1518,2024-02-05,C015,P004,4,149.99,Europa
1519,2024-03-18,C006,P008,2,9.99,Europa
1520,2024-02-23,C002,P001,7,15.99,Oceanía
1521,2024-01-12,C019,P012,1,299.99,América
1522,2024-03-30,C040,P007,1,59.99,Europa
1523,2024-01-21,C004,P015,3,169.99,América
1524,2024-02-07,C028,P017,6,249.99,Oceanía
1525,2024-03-17,C011,P006,10,799.0,Oceanía
1526,2024-02-24,C030,P001,8,15.99,América
1527,2024-02-09,C027,P004,10,149.99,Asia
1528,2024-02-19,C014,P014,4,14.99,América
1529,2024-01-20,C003,P002,2,25.5,Europa
1530,2024-01-12,C013,P014,2,14.99,África
1531,2024-03-30,C021,P008,4,9.99,Europa
1532,2024-02-29,C028,P001,6,15.99,Oceanía
1533,2024-01-28,C004,P015,10,169.99,África
1534,2024-01-09,C019,P004,9,149.99,África
1535,2024-02-20,C033,P004,1,149.99,Asia
1536,2024-02-03,C029,P020,7,59.99,Europa
1537,2024-02-29,C047,P015,1,169.99,Europa
1538,2024-01-25,C044,P008,5,9.99,América
1539,2024-02-24,C034,P002,1,25.5,Asia
1540,2024-02-16,C004,P007,4,59.99,Asia
1541,2024-02-07,C001,P017,3,249.99,África
1542,2024-01-31,C046,P014,7,14.99,Asia
1543,2024-02-28,C007,P016,3,35.99,Asia
1544,2024-01-21,C004,P013,3,12.5,Asia
1545,2024-03-18,C022,P014,4,14.99,Oceanía
